Date,st_dev,var,vol
2024-11-06,22.608117659968606,511.1269841269844,0.0018202569873925598
2024-11-07,26.509497409349542,702.75345289631,0.0011249616474412697
2024-11-08,23.8998416833281,571.2024324881473,0.0008714647658380685
2024-11-09,23.128025996115948,534.905586477015,
2024-11-10,19.19214649042455,368.33848690991533,
2024-11-11,17.66977020848827,312.2207792207796,0.0009445490674905734
2024-11-12,24.445139230395124,597.5648319934027,0.0011802180384508992
2024-11-13,24.590666652516166,604.7008864151707,0.0013649321492198827
2024-11-14,15.422798342708466,237.862708719851,0.0013831958263743275
2024-11-15,17.472055610967125,305.27272727272776,0.0014743396310708105
2024-11-16,22.497990015354322,506.1595547309828,
2024-11-17,18.825375533204966,354.39476396619216,
2024-11-18,18.42570198137627,339.5064935064934,0.0013153832238440957
2024-11-19,20.193947263504974,407.79550608122,0.00140654628722872
2024-11-20,21.79637214758742,475.08183879612466,0.0020869588195209137
2024-11-21,18.477356369694736,341.4126984126986,0.0027474715989016757
2024-11-22,17.34055080218831,300.6947021232737,0.0016234955306338604
2024-11-23,16.71464337748331,279.3793032364467,
2024-11-24,21.022815496201805,441.9587713873427,
2024-11-25,21.07051995008218,443.9668109668111,0.001520990784948959
2024-11-26,22.422467712954482,502.76705833848615,0.0010866869978050288
2024-11-27,19.917770558054386,396.71758400329816,0.0009058147817495041
2024-11-28,21.9710881780743,482.7287157287162,
2024-11-29,18.413200968411566,339.04596990311256,0.0011285558341860126
2024-11-30,18.100443543825104,327.6260564831999,
2024-12-01,15.26079883344375,232.89198103483815,
2024-12-02,26.371487823533933,695.4553700267985,0.000913351214778433
2024-12-03,24.081652655917956,579.9259946402804,0.0008354008840639573
2024-12-04,21.51661566176655,462.9647495361776,0.0008164514026733744
2024-12-05,23.904261735682514,571.4137291280152,0.0007987857597517309
